Row,CWE,Column,C,Java,Delta,Delta %,Direction
0,CWE-20,Base,1,26,+25,+2500.00%,↑
0,CWE-20,Result,0,0,0,0.00%,=
0,CWE-20,Frequency,0.00%,0.00%,0.00%,0.00%,=
1,CWE-22,Base,2,15,+13,+650.00%,↑
1,CWE-22,Result,1,2,+1,+100.00%,↑
1,CWE-22,Frequency,50.00%,13.33%,-36.67%,-73.34%,↓
2,CWE-78,Base,4,48,+44,+1100.00%,↑
2,CWE-78,Result,0,3,+3,+100.00%,↑
2,CWE-78,Frequency,0.00%,6.25%,+6.25%,+100.00%,↑
3,CWE-79,Base,1,17,+16,+1600.00%,↑
3,CWE-79,Result,0,0,0,0.00%,=
3,CWE-79,Frequency,0.00%,0.00%,0.00%,0.00%,=
4,CWE-89,Base,6,14,+8,+133.33%,↑
4,CWE-89,Result,0,0,0,0.00%,=
4,CWE-89,Frequency,0.00%,0.00%,0.00%,0.00%,=
5,CWE-200,Base,7,12,+5,+71.43%,↑
5,CWE-200,Result,1,0,-1,-100.00%,↓
5,CWE-200,Frequency,14.29%,0.00%,-14.29%,-100.00%,↓
6,CWE-306,Base,5,24,+19,+380.00%,↑
6,CWE-306,Result,0,1,+1,+100.00%,↑
6,CWE-306,Frequency,0.00%,4.17%,+4.17%,+100.00%,↑
7,CWE-434,Base,2,9,+7,+350.00%,↑
7,CWE-434,Result,0,0,0,0.00%,=
7,CWE-434,Frequency,0.00%,0.00%,0.00%,0.00%,=
8,CWE-476,Base,8,4,-4,-50.00%,↓
8,CWE-476,Result,0,0,0,0.00%,=
8,CWE-476,Frequency,0.00%,0.00%,0.00%,0.00%,=
9,CWE-522,Base,26,13,-13,-50.00%,↓
9,CWE-522,Result,0,1,+1,+100.00%,↑
9,CWE-522,Frequency,0.00%,7.69%,+7.69%,+100.00%,↑
10,CWE-732,Base,29,8,-21,-72.41%,↓
10,CWE-732,Result,1,0,-1,-100.00%,↓
10,CWE-732,Frequency,3.45%,0.00%,-3.45%,-100.00%,↓
11,CWE-787,Base,1,5,+4,+400.00%,↑
11,CWE-787,Result,0,0,0,0.00%,=
11,CWE-787,Frequency,0.00%,0.00%,0.00%,0.00%,=
