Category,Value,Base,Result,Frequency,Evaluable
Granularity,chunk,142,10,7.04%,True
Granularity,clause,3,0,11.11%,False
Granularity,minimal,208,17,8.01%,True
Sentence Index,0,249,21,8.57%,True
Sentence Index,1,41,2,4.88%,True
Sentence Index,2,41,2,5.69%,True
Sentence Index,3,11,1,12.12%,False
Sentence Index,4,7,0,0.00%,False
Sentence Index,5,1,0,0.00%,False
Sentence Index,6,1,0,0.00%,False
Sentence Index,7,2,0,0.00%,False
Syntagm Type,ADJP,3,0,0.00%,False
Syntagm Type,ADVP,4,0,0.00%,False
Syntagm Type,NP,190,16,8.24%,True
Syntagm Type,PP,64,6,8.86%,True
Syntagm Type,PRT,1,0,0.00%,False
Syntagm Type,QP,2,0,0.00%,False
Syntagm Type,SBAR,26,1,5.13%,True
Syntagm Type,VP,54,4,8.03%,True
Syntagm Type,WHADVP,3,0,0.00%,False
Syntagm Type,WHNP,6,0,0.00%,False
