Category,Value,Base,Result,Frequency,Evaluable
Granularity,chunk,142,47,33.33%,True
Granularity,clause,3,2,66.67%,True
Granularity,minimal,208,77,37.02%,True
Sentence Index,0,249,68,27.31%,True
Sentence Index,1,41,21,52.03%,True
Sentence Index,2,41,26,64.23%,True
Sentence Index,3,11,5,42.42%,True
Sentence Index,4,7,3,42.86%,True
Sentence Index,5,1,1,100.00%,False
Sentence Index,6,1,0,0.00%,False
Sentence Index,7,2,2,100.00%,False
Syntagm Type,ADJP,3,1,33.33%,False
Syntagm Type,ADVP,4,0,8.33%,False
Syntagm Type,NP,190,67,35.27%,True
Syntagm Type,PP,64,18,27.60%,True
Syntagm Type,PRT,1,0,0.00%,False
Syntagm Type,QP,2,0,0.00%,False
Syntagm Type,SBAR,26,13,51.28%,True
Syntagm Type,VP,54,23,41.97%,True
Syntagm Type,WHADVP,3,1,44.44%,False
Syntagm Type,WHNP,6,3,50.00%,True
